date,category,article_link
2025-10-13,Government/Public,https://www.donga.com/news/Society/article/all/20251012/132544388/2
2025-10-14,Government/Public,https://www.etnews.com/20251013000323
2025-10-15,Government/Public,https://www.etnews.com/20251014000129
2025-10-16,Government/Public,https://www.etnews.com/20251010000232
2025-10-21,Government/Public,https://www.dt.co.kr/article/12023759
2025-10-22,Government/Public,https://www.mk.co.kr/article/11447425
2025-10-22,Government/Public,https://www.mk.co.kr/article/11447279
2025-10-23,Government/Public,https://www.hankyung.com/article/2025102261601
2025-10-23,Government/Public,http://www.fnnews.com/news/202510221815110552
2025-10-24,Government/Public,https://www.sedaily.com/NewsView/2GZAHQSFDM
2025-10-27,Government/Public,http://www.chosun.com/national/weekend/2025/10/25/3KNCEF76KNGNXFISMJD2BZ43YM/
2025-10-27,Government/Public,https://www.sedaily.com/NewsView/2GZAXZDWU1
2025-10-28,Government/Public,https://www.joongang.co.kr/article/25377174
2025-10-02,Government/Public,https://www.etnews.com/20251001000252
2025-10-30,Government/Public,https://www.hankyung.com/article/2025102905681
2025-10-31,Government/Public,https://www.dt.co.kr/article/12026112?ref=naver
2025-10-31,Government/Public,https://www.mt.co.kr/estate/2025/10/30/2025103009031182923
2025-11-10,Government/Public,http://www.edaily.co.kr/news/newspath.asp?newsid=01715446642364080
2025-11-14,Government/Public,https://www.etnews.com/20251113000293
2025-11-14,Government/Public,https://www.hankyung.com/article/2025111324711
2025-11-18,Government/Public,https://www.joongang.co.kr/article/25382854
2025-11-24,Government/Public,https://www.donga.com/news/Economy/article/all/20251121/132818677/2
2025-11-25,Government/Public,https://www.etnews.com/20251124000063
2025-11-05,Government/Public,https://www.hankyung.com/article/2025110437541
2025-11-06,Government/Public,https://www.sedaily.com/NewsView/2H0C52SNFM
2025-12-15,Government/Public,http://www.fnnews.com/news/202512141835516008
2025-12-16,Government/Public,https://www.donga.com/news/Society/article/all/20251216/132972499/2
2025-12-16,Government/Public,https://www.hankyung.com/article/2025121549261
2025-12-19,Government/Public,https://www.hani.co.kr/arti/economy/it/1235371.html
2025-12-19,Government/Public,https://www.dt.co.kr/article/12036077?ref=naver
2025-12-01,Government/Public,https://www.mk.co.kr/news/realestate/11480728
2025-12-22,Government/Public,http://www.chosun.com/national/transport-environment/2025/12/20/VZWN2KP43JA7TDJ4Q4ETKGKAPM/
2025-12-23,Government/Public,http://go.seoul.co.kr/news/newsView.php?id=20251223029001
2025-12-24,Government/Public,https://www.sedaily.com/NewsView/2H1UCOMPVU
2025-12-26,Government/Public,https://www.hankyung.com/article/2025122437421
2025-12-29,Government/Public,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202512261433226280298
2025-12-02,Government/Public,https://www.etnews.com/20251128000167
2025-12-30,Government/Public,https://www.mt.co.kr/estate/2025/12/29/2025122909332673330
2025-12-31,Government/Public,https://www.etnews.com/20251230000330
2025-12-03,Government/Public,https://www.etnews.com/20251202000079
2025-12-03,Government/Public,https://www.mk.co.kr/article/11482381
2025-12-08,Government/Public,http://www.viva100.com/article/20251206500113
2026-01-12,Government/Public,https://www.hankyung.com/article/2026010917501
2026-01-13,Government/Public,https://www.sedaily.com/NewsView/2K79WCRWD0
2026-01-14,Government/Public,https://www.mt.co.kr/policy/2026/01/13/2026011310461980714
2026-01-14,Government/Public,https://www.mk.co.kr/article/11931816
2026-01-15,Government/Public,https://www.hankyung.com/article/2026011407461
2026-01-15,Government/Public,http://www.edaily.co.kr/news/newspath.asp?newsid=04172166645317720
2026-01-16,Government/Public,http://go.seoul.co.kr/news/newsView.php?id=20260116027002
2026-01-19,Government/Public,https://www.sedaily.com/NewsView/2K7CNTD8W9
2026-01-20,Government/Public,https://www.hankyung.com/article/2026011995911
2026-01-21,Government/Public,https://www.mk.co.kr/article/11937988
2026-01-21,Government/Public,https://www.mk.co.kr/article/11937987
2026-01-22,Government/Public,https://www.seoul.co.kr/news/society/2026/01/21/20260121500055
2026-01-23,Government/Public,https://www.sedaily.com/NewsView/2K7EI87MMN
2026-01-29,Government/Public,http://www.edaily.co.kr/news/newspath.asp?newsid=03365286645322312
2026-01-29,Government/Public,https://www.sedaily.com/article/20001937?ref=becu
2026-01-05,Government/Public,http://www.fnnews.com/news/202601041822322653
2026-01-05,Government/Public,https://www.sedaily.com/NewsView/2K76925OV8
2026-01-06,Government/Public,http://www.fnnews.com/news/202601051849421340
2026-01-06,Government/Public,http://www.viva100.com/article/20260104500411
2026-02-10,Government/Public,http://go.seoul.co.kr/news/newsView.php?id=20260210019007
2026-02-11,Government/Public,https://www.mk.co.kr/article/11958889
2026-02-13,Government/Public,https://www.seoul.co.kr/news/society/2026/02/12/20260212500344
2026-02-19,Government/Public,https://www.hankyung.com/article/2026021894911
2026-02-24,Government/Public,http://www.edaily.co.kr/news/newspath.asp?newsid=03368566645353472
2026-02-24,Government/Public,https://www.joongang.co.kr/article/25406769
2026-02-25,Government/Public,https://www.sedaily.com/article/20012173?ref=becu
2026-02-25,Government/Public,https://www.donga.com/news/Society/article/all/20260224/133414556/2
2026-02-26,Government/Public,https://www.hankyung.com/article/2026022546811
2026-02-26,Government/Public,https://www.etnews.com/20260225000329
2026-02-27,Government/Public,http://www.viva100.com/article/20260225501058
2026-02-02,Government/Public,https://www.seoul.co.kr/news/economy/2026/02/01/20260201500097
2026-02-04,Government/Public,https://www.donga.com/news/Society/article/all/20260203/133288385/1
2026-02-05,Government/Public,https://www.etnews.com/20260204000005
2026-02-09,Government/Public,http://www.fnnews.com/news/202602081833572013
2026-03-11,Government/Public,https://www.hankyung.com/article/2026031017121
2026-03-11,Government/Public,https://www.sedaily.com/article/20017596?ref=becu
2026-03-13,Government/Public,https://www.etnews.com/20260312000081
2026-03-13,Government/Public,http://www.fnnews.com/news/202603121820192870
2026-03-16,Government/Public,http://www.fnnews.com/news/202603151758594722
2026-03-23,Government/Public,https://www.hankyung.com/article/2026032059111
2026-03-25,Government/Public,https://www.hankyung.com/article/2026032419561
2026-03-25,Government/Public,https://www.donga.com/news/Society/article/all/20260324/133599366/2
2026-03-30,Government/Public,http://www.chosun.com/economy/real_estate/2026/03/30/PAQKPXND5BH27F3IEWEUOE52T4/
2026-03-30,Government/Public,http://www.chosun.com/special/special_section/2026/03/30/22OMOKEQNNFHVPZXI3RAZNLVQ4/
2026-03-03,Government/Public,https://www.sedaily.com/article/20014169?ref=naver
2026-03-03,Government/Public,https://www.sedaily.com/article/20014242?ref=naver
2026-03-04,Government/Public,http://www.fnnews.com/news/202603031839576341
2026-03-05,Government/Public,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202603041026257010776
2026-03-19,Government/Public,http://www.viva100.com/article/20260318500632
2026-04-10,Government/Public,https://www.sedaily.com/article/20030603?ref=becu
2026-04-10,Government/Public,https://www.etnews.com/20260409000216
2026-04-13,Government/Public,https://www.etnews.com/20260412000039
2026-04-16,Government/Public,https://www.etnews.com/20260415000070
2026-04-16,Government/Public,https://www.kmib.co.kr/article/view.asp?arcid=1776241967
2026-04-30,Government/Public,https://www.sedaily.com/article/20038501?ref=naver
2026-04-07,Government/Public,https://www.etnews.com/20260406000097
2026-04-08,Government/Public,https://www.hankookilbo.com/news/article/A2026040109520000200
2026-04-09,Government/Public,http://www.edaily.co.kr/news/newspath.asp?newsid=04234486645414152
2026-05-13,Government/Public,https://www.seoul.co.kr/news/publicnews/local_govern/news_local/2026/05/13/20260513019002
2026-05-13,Government/Public,http://www.chosun.com/economy/realty/2026/05/13/V2MZN5SUYJGUNDO3NMR5XFSDKU/
2026-05-15,Government/Public,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202605141135106050724
2026-05-15,Government/Public,https://www.etnews.com/20260514000025
2026-05-18,Government/Public,http://www.viva100.com/article/20260515500522
2026-05-18,Government/Public,https://www.seoul.co.kr/news/plan/2026/05/18/20260518022002
2026-05-19,Government/Public,https://www.etnews.com/20260518000272
2026-05-26,Government/Public,https://www.etnews.com/20260525000029
2026-05-28,Government/Public,https://www.etnews.com/20260527000174
2026-05-08,Government/Public,https://www.dt.co.kr/article/12061296?ref=naver
2026-05-08,Government/Public,http://go.seoul.co.kr/news/newsView.php?id=20260508022001
2026-06-11,Government/Public,http://www.viva100.com/article/20260610500290
2026-06-12,Government/Public,https://www.sedaily.com/article/20054763
2026-06-16,Government/Public,https://www.dt.co.kr/article/12067642?ref=naver
2026-06-17,Government/Public,https://www.etnews.com/20260616000112
2026-06-23,Government/Public,https://www.etnews.com/20260622000220
2026-06-23,Government/Public,https://www.sedaily.com/article/20058758
2026-06-30,Government/Public,https://www.donga.com/news/article/all/20260630/134205560/2
2026-06-09,Government/Public,https://www.etnews.com/20260607000162
2026-06-09,Government/Public,https://www.hankyung.com/article/2026060839601
2026-07-02,Government/Public,https://www.sedaily.com/article/20062630
2026-07-03,Government/Public,https://www.etnews.com/20260702000072
2026-07-08,Government/Public,https://www.etnews.com/20260707000114
2026-07-08,Government/Public,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202607071643078420310
2026-07-09,Government/Public,https://www.ajunews.com/view/20260708114010919
2025-09-10,Government/Public,https://www.hankyung.com/article/2025090929861
2025-09-10,Government/Public,https://www.hankyung.com/article/2025090930261
2025-09-12,Government/Public,https://www.hankyung.com/article/2025091186311
2025-09-12,Government/Public,https://www.etnews.com/20250911000380
2025-09-16,Government/Public,https://www.hankookilbo.com/News/Read/A2025091513270001364
2025-09-17,Government/Public,https://www.hankyung.com/article/2025091676941
2025-09-19,Government/Public,https://www.etnews.com/20250918000218
2025-09-01,Government/Public,https://www.etnews.com/20250831000133
2025-09-23,Government/Public,http://go.seoul.co.kr/news/newsView.php?id=20250923030008
2025-09-25,Government/Public,https://www.dt.co.kr/article/12019904?ref=naver
2025-09-26,Government/Public,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202509241709017140960
2025-09-26,Government/Public,https://www.sedaily.com/NewsView/2GY1FW87Z1
2025-09-02,Government/Public,https://www.hankookilbo.com/News/Read/A2025090111310001023
2025-09-02,Government/Public,http://www.edaily.co.kr/news/newspath.asp?newsid=03686726642295856
2025-09-02,Government/Public,https://www.hankyung.com/article/2025090154261
2025-09-03,Government/Public,https://www.etnews.com/20250902000166
2025-09-05,Government/Public,http://www.viva100.com/article/20250904500919
2025-09-08,Government/Public,http://www.fnnews.com/news/202509071830548724
2025-09-09,Government/Public,https://www.etnews.com/20250908000369
