date,category,article_link
2025-10-10,Industry Trends,https://www.hankyung.com/article/2025100990241
2025-10-10,Industry Trends,https://www.joongang.co.kr/article/25372696
2025-10-10,Industry Trends,http://go.seoul.co.kr/news/newsView.php?id=20251009021003
2025-10-10,Industry Trends,https://www.sedaily.com/NewsView/2GZ41UAGOV
2025-10-10,Industry Trends,http://www.fnnews.com/news/202510081813438162
2025-10-10,Industry Trends,http://www.fnnews.com/news/202510081801566084
2025-10-10,Industry Trends,https://www.hankookilbo.com/News/Read/A2025100214570000454
2025-10-10,Industry Trends,https://www.mt.co.kr/stock/2025/10/09/2025100217071824186
2025-10-10,Industry Trends,https://www.hankyung.com/article/2025100990721
2025-10-10,Industry Trends,http://www.edaily.co.kr/news/newspath.asp?newsid=03371846642328984
2025-10-10,Industry Trends,http://www.chosun.com/economy/tech_it/2025/10/09/I4HNCIFNRJGQRAR5ATBUPUFRPM/
2025-10-10,Industry Trends,https://www.dt.co.kr/article/12021975?ref=naver
2025-10-10,Industry Trends,https://www.hankyung.com/article/2025100884971
2025-10-10,Industry Trends,http://www.chosun.com/economy/tech_it/2025/10/09/5YJQHJHNENFOFPV6CC7VYEZOOQ/
2025-10-10,Industry Trends,https://www.donga.com/news/article/all/20251008/132526898/2
2025-10-10,Industry Trends,https://www.mk.co.kr/article/11437272
2025-10-10,Industry Trends,https://www.hankyung.com/article/2025100997141
2025-10-10,Industry Trends,https://www.hankyung.com/article/2025100996481
2025-10-10,Industry Trends,https://www.hankyung.com/article/2025100236551
2025-10-10,Industry Trends,https://www.hankyung.com/article/2025100996161
2025-10-10,Industry Trends,https://www.kmib.co.kr/article/view.asp?arcid=1759383845
2025-10-13,Industry Trends,https://www.hankyung.com/article/2025101232291
2025-10-13,Industry Trends,https://www.etnews.com/20251010000160
2025-10-13,Industry Trends,https://www.hankyung.com/article/2025101232721
2025-10-13,Industry Trends,https://www.kmib.co.kr/article/view.asp?arcid=1760253867
2025-10-13,Industry Trends,https://www.ajunews.com/view/20251012102259549
2025-10-13,Industry Trends,http://www.fnnews.com/news/202510121820227149
2025-10-13,Industry Trends,https://www.hankookilbo.com/News/Read/A2025101212370004126
2025-10-13,Industry Trends,https://www.hankyung.com/article/2025101014961
2025-10-13,Industry Trends,https://www.hankyung.com/article/2025101014971
2025-10-13,Industry Trends,https://www.etnews.com/20251011000021
2025-10-13,Industry Trends,https://www.ajunews.com/view/20251012112827592
2025-10-13,Industry Trends,https://www.ajunews.com/view/20251010094922935
2025-10-13,Industry Trends,https://www.donga.com/news/It/article/all/20251011/132537520/2
2025-10-13,Industry Trends,https://www.kmib.co.kr/article/view.asp?arcid=1760257331
2025-10-13,Industry Trends,https://www.etnews.com/20251011000020
2025-10-13,Industry Trends,http://www.fnnews.com/news/202510121820166541
2025-10-13,Industry Trends,http://www.fnnews.com/news/202510121804005271
2025-10-13,Industry Trends,https://www.mk.co.kr/article/11439316
2025-10-14,Industry Trends,https://www.etnews.com/20251013000111
2025-10-14,Industry Trends,https://www.etnews.com/20251013000035
2025-10-14,Industry Trends,https://www.hankyung.com/article/2025101354801
2025-10-14,Industry Trends,https://www.hankyung.com/article/2025101357591
2025-10-14,Industry Trends,https://www.etnews.com/20251013000079
2025-10-14,Industry Trends,https://www.hankyung.com/article/2025101357601
2025-10-14,Industry Trends,https://www.sedaily.com/NewsView/2GZ5VVSZ3D
2025-10-14,Industry Trends,https://www.hankyung.com/article/2025101341551
2025-10-14,Industry Trends,https://www.dt.co.kr/article/12022498?ref=naver
2025-10-14,Industry Trends,https://www.newstomato.com/ReadNews.aspx?no=1277518
2025-10-14,Industry Trends,https://www.etnews.com/20251013000012
2025-10-14,Industry Trends,https://www.mt.co.kr/future/2025/10/13/2025101309184516691
2025-10-14,Industry Trends,https://www.hankyung.com/article/2025101357021
