date,category,article_link
2025-10-21,Innodep,https://www.etnews.com/20251020000175
2025-10-23,Innodep,http://www.edaily.co.kr/news/newspath.asp?newsid=04241046642335544
2025-10-23,Innodep,https://www.yna.co.kr/view/AKR20251022026200004?input=1195m
2025-10-28,Innodep,https://www.mt.co.kr/stock/2025/10/27/2025102710374384719
2025-10-28,Innodep,https://www.etnews.com/20251027000197
2025-10-31,Innodep,https://www.etnews.com/20251030000064
2025-11-26,Innodep,https://www.etnews.com/20251124000405
2025-12-10,Innodep,http://www.boannews.com/media/view.asp?idx=140835
2025-12-01,Innodep,https://www.newsis.com/view/NISX20251128_0003421454
2025-12-22,Innodep,https://www.etnews.com/20251219000086
2025-12-22,Innodep,https://www.etnews.com/20251219000111
2025-12-24,Innodep,http://www.boannews.com/media/view.asp?idx=140821
2025-12-04,Innodep,https://www.etnews.com/20251203000278
2026-01-30,Innodep,https://www.newsis.com/view/NISX20260129_0003495015
2026-01-08,Innodep,https://www.mt.co.kr/stock/2026/01/07/2026010707381242319
2026-02-19,Innodep,http://www.boannews.com/media/view.asp?idx=142128
2026-02-06,Innodep,https://www.mt.co.kr/stock/2026/02/05/2026020515125031052
2026-03-23,Innodep,http://www.boannews.com/media/view.asp?idx=142720
2026-03-23,Innodep,https://www.mt.co.kr/stock/2026/03/20/2026032013215798725
2026-03-27,Innodep,http://www.boannews.com/media/view.asp?idx=142843
2026-03-30,Innodep,http://www.boannews.com/media/view.asp?idx=142893
2026-03-30,Innodep,http://www.boannews.com/media/view.asp?idx=142889
2026-03-03,Innodep,http://www.boannews.com/media/view.asp?idx=142421
2026-03-06,Innodep,http://www.boannews.com/media/view.asp?idx=142488
2026-03-19,Innodep,https://www.mt.co.kr/stock/2026/03/18/2026031817192177717
2026-04-02,Innodep,http://www.boannews.com/media/view.asp?idx=142976
2026-04-03,Innodep,http://www.boannews.com/media/view.asp?idx=142973
2026-04-06,Innodep,http://www.boannews.com/media/view.asp?idx=142915
2026-05-13,Innodep,https://www.mt.co.kr/industry/2026/05/12/2026051116462680931
2026-05-18,Innodep,https://www.newsis.com/view/NISX20260515_0003631462
2026-05-29,Innodep,http://www.boannews.com/media/view.asp?idx=143860
2026-05-04,Innodep,http://www.boannews.com/media/view.asp?idx=143431
2026-06-29,Innodep,https://www.newscj.com/news/articleView.html?idxno=3412707
2026-06-02,Innodep,https://www.newsis.com/view/NISX20260601_0003651807
2026-06-30,Innodep,http://www.viva100.com/article/20260628500163
2026-06-05,Innodep,https://www.mt.co.kr/stock/2026/06/04/2026060413433321854
2025-09-04,Innodep,https://www.etnews.com/20250903000416
2025-09-04,Innodep,http://www.boannews.com/media/view.asp?idx=138972
2025-09-05,Innodep,http://www.boannews.com/media/view.asp?idx=139090
