date,category,article_link
2025-10-10,Production/Wages,https://www.hani.co.kr/arti/society/labor/1221927.html
2025-10-10,Production/Wages,https://www.hankyung.com/article/2025100997301
2025-10-01,Production/Wages,https://www.khan.co.kr/article/202509302132015
2025-12-26,Production/Wages,https://www.donga.com/news/Economy/article/all/20251224/133033682/2
2026-01-19,Production/Wages,http://www.fnnews.com/news/202601181822339029
2026-03-09,Production/Wages,https://www.sedaily.com/article/20016600?ref=becu
2026-04-20,Production/Wages,http://www.fnnews.com/news/202604191937095149
2026-04-29,Production/Wages,http://www.fnnews.com/news/202604281840395959
2026-05-19,Production/Wages,https://www.hankyung.com/article/2026051844891
2026-05-20,Production/Wages,http://www.chosun.com/economy/tech_it/2026/05/20/IM7E6OH4SREN7MU6NUN4HQOJFE/
2026-05-27,Production/Wages,https://www.mk.co.kr/news/society/12058055
2026-05-27,Production/Wages,https://www.hankyung.com/article/2026052600131
2026-06-15,Production/Wages,https://www.seoul.co.kr/news/economy/2026/06/14/20260614500077
2026-06-15,Production/Wages,https://www.edaily.co.kr/news/newspath.asp?newsid=01548166645481720
2026-06-16,Production/Wages,https://www.kmib.co.kr/article/view.asp?arcid=1781508267
2026-06-17,Production/Wages,https://www.edaily.co.kr/news/newspath.asp?newsid=04788806645482376
2026-06-19,Production/Wages,https://www.hankyung.com/article/2026061854501
2026-06-22,Production/Wages,http://www.fnnews.com/news/202606211304356176
2026-06-22,Production/Wages,https://www.sedaily.com/article/20058253
2026-06-23,Production/Wages,http://www.fnnews.com/news/202606221900309237
2026-06-24,Production/Wages,https://www.mk.co.kr/article/12081171
2026-06-24,Production/Wages,https://www.kmib.co.kr/article/view.asp?arcid=1782202417
2026-06-26,Production/Wages,https://www.newstomato.com/ReadNews.aspx?no=1305214
2026-06-30,Production/Wages,https://www.donga.com/news/article/all/20260630/134205322/2
2026-06-30,Production/Wages,http://www.viva100.com/article/20260629500484
2026-07-01,Production/Wages,https://www.segye.com/newsView/20260630516938
2026-07-03,Production/Wages,https://www.newstomato.com/ReadNews.aspx?no=1306021
2026-07-03,Production/Wages,https://www.hankyung.com/article/2026070227121
2026-07-06,Production/Wages,https://www.mt.co.kr/economy/2026/07/05/2026070315445173317
2026-07-08,Production/Wages,https://www.mk.co.kr/news/society/12092644
2025-09-23,Production/Wages,https://www.dt.co.kr/article/12019437?ref=naver
