date,category,article_link
2025-10-10,Venture/Finance,https://www.segye.com/newsView/20251002510365
2025-10-10,Venture/Finance,https://www.donga.com/news/Inter/article/all/20251003/132519434/2
2025-10-10,Venture/Finance,http://www.fnnews.com/news/202510081808146270
2025-10-10,Venture/Finance,https://www.mk.co.kr/article/11435268
2025-10-10,Venture/Finance,https://www.mt.co.kr/stock/2025/10/09/2025100208182023161
2025-10-13,Venture/Finance,https://www.etnews.com/20251010000136
2025-10-13,Venture/Finance,http://www.fnnews.com/news/202510121818387931
2025-10-13,Venture/Finance,http://www.fnnews.com/news/202510121844267624
2025-10-13,Venture/Finance,https://www.hankookilbo.com/News/Read/A2025101007520001626
2025-10-13,Venture/Finance,https://www.sedaily.com/NewsView/2GZ5FOLPXG
2025-10-13,Venture/Finance,https://www.newstomato.com/ReadNews.aspx?no=1277315
2025-10-13,Venture/Finance,https://www.hankyung.com/article/2025101233291
2025-10-14,Venture/Finance,https://www.kmib.co.kr/article/view.asp?arcid=1760344341
2025-10-14,Venture/Finance,https://www.hankyung.com/article/2025101341601
2025-10-14,Venture/Finance,https://www.hankyung.com/article/2025101356981
2025-10-14,Venture/Finance,https://www.sedaily.com/NewsView/2GZ5VCE3N3
2025-10-14,Venture/Finance,https://www.hankyung.com/article/2025101355931
2025-10-15,Venture/Finance,https://www.etnews.com/20251014000138
2025-10-15,Venture/Finance,https://www.etnews.com/20251013000402
2025-10-15,Venture/Finance,https://www.hankyung.com/article/2025101483241
2025-10-15,Venture/Finance,http://www.edaily.co.kr/news/newspath.asp?newsid=03860566642332920
2025-10-15,Venture/Finance,https://www.etnews.com/20251014000205
2025-10-15,Venture/Finance,https://www.hankyung.com/article/2025101481671
2025-10-16,Venture/Finance,https://www.hankyung.com/article/2025101508531
2025-10-16,Venture/Finance,https://www.sedaily.com/NewsView/2GZ6RZ1GUR
2025-10-16,Venture/Finance,https://www.ajunews.com/view/20251015115908001
2025-10-16,Venture/Finance,https://www.ajunews.com/view/20251015120415006
2025-10-16,Venture/Finance,https://www.newstomato.com/ReadNews.aspx?no=1277845
2025-10-16,Venture/Finance,https://www.sedaily.com/NewsView/2GZ6SSO4O9
2025-10-16,Venture/Finance,https://www.mt.co.kr/stock/2025/10/15/2025101514403952088
2025-10-17,Venture/Finance,https://www.hankyung.com/article/2025101638681
2025-10-17,Venture/Finance,https://www.dt.co.kr/article/12023402
2025-10-17,Venture/Finance,https://www.etnews.com/20251016000215
2025-10-17,Venture/Finance,https://www.hankyung.com/article/2025101638631
2025-10-17,Venture/Finance,https://www.hankyung.com/article/2025101638671
2025-10-01,Venture/Finance,https://www.sedaily.com/NewsView/2GY3RKQCLH
2025-10-01,Venture/Finance,https://www.etnews.com/20250930000242
2025-10-01,Venture/Finance,https://www.etnews.com/20250930000163
2025-10-01,Venture/Finance,https://www.mk.co.kr/news/business/11433194
2025-10-20,Venture/Finance,https://www.mk.co.kr/news/it/11444486
2025-10-20,Venture/Finance,http://www.edaily.co.kr/news/newspath.asp?newsid=01653126642334560
2025-10-20,Venture/Finance,https://www.mk.co.kr/article/11444515
2025-10-20,Venture/Finance,https://www.sedaily.com/NewsView/2GZ7Q8XY33
2025-10-20,Venture/Finance,https://www.mk.co.kr/article/11445324
2025-10-21,Venture/Finance,https://www.mt.co.kr/future/2025/10/20/2025102011575933650
2025-10-21,Venture/Finance,https://www.hankyung.com/article/2025102008491
2025-10-21,Venture/Finance,http://www.fnnews.com/news/202510201813422453
2025-10-21,Venture/Finance,http://www.chosun.com/economy/money/2025/10/21/L5QHXYBVLVB5HIHJXZM47MDXX4/
2025-10-22,Venture/Finance,http://www.viva100.com/article/20251021500145
2025-10-22,Venture/Finance,https://www.sedaily.com/NewsView/2GZ9JV1KZR
2025-10-22,Venture/Finance,https://www.etnews.com/20251021000212
2025-10-22,Venture/Finance,https://www.sedaily.com/NewsView/2GZ9JI3ZFA
2025-10-22,Venture/Finance,https://www.etnews.com/20251021000005
2025-10-23,Venture/Finance,https://www.etnews.com/20251022000069
2025-10-23,Venture/Finance,https://www.mt.co.kr/future/2025/10/22/2025102116470021077
2025-10-23,Venture/Finance,https://www.etnews.com/20251022000171
2025-10-23,Venture/Finance,https://www.hankyung.com/article/2025102260971
2025-10-23,Venture/Finance,https://www.hankookilbo.com/News/Read/A2025102210390004853
2025-10-23,Venture/Finance,https://www.sedaily.com/NewsView/2GZA1NZL9X
2025-10-23,Venture/Finance,https://www.sedaily.com/NewsView/2GZA0SHTCH
2025-10-24,Venture/Finance,https://www.segye.com/newsView/20251023512663
2025-10-24,Venture/Finance,https://www.donga.com/news/article/all/20251024/132625668/2
2025-10-24,Venture/Finance,https://www.hankyung.com/article/2025102387071
2025-10-24,Venture/Finance,https://www.hankyung.com/article/2025102386301
2025-10-27,Venture/Finance,https://www.sedaily.com/NewsView/2GZAY6NU2V
2025-10-27,Venture/Finance,https://www.sedaily.com/NewsView/2GZAXMMVA9
2025-10-27,Venture/Finance,https://www.joongang.co.kr/article/25376603
2025-10-28,Venture/Finance,https://www.mk.co.kr/article/11451462
2025-10-28,Venture/Finance,https://www.hankookilbo.com/News/Read/A2025102711440002704
2025-10-28,Venture/Finance,http://www.edaily.co.kr/news/newspath.asp?newsid=01515366642337184
2025-10-28,Venture/Finance,https://www.kmib.co.kr/article/view.asp?arcid=1761457473
2025-10-28,Venture/Finance,https://www.mk.co.kr/news/it/11451677
2025-10-29,Venture/Finance,https://www.hankyung.com/article/2025102877131
2025-10-29,Venture/Finance,https://www.sedaily.com/NewsView/2GZCRE3ACF
2025-10-29,Venture/Finance,https://www.etnews.com/20251028000336
2025-10-29,Venture/Finance,https://www.mt.co.kr/future/2025/10/29/2025102819552063820
2025-10-29,Venture/Finance,https://www.mk.co.kr/news/stock/11453995
2025-10-02,Venture/Finance,https://www.mt.co.kr/future/2025/10/01/2025100110060364268
2025-10-02,Venture/Finance,https://www.etnews.com/20251001000283
2025-10-02,Venture/Finance,https://www.sedaily.com/NewsView/2GZ0D8FXP6
2025-10-02,Venture/Finance,https://www.etnews.com/20251001000313
2025-10-02,Venture/Finance,https://www.sedaily.com/NewsView/2GZ0EQJ8W4
2025-10-02,Venture/Finance,http://www.edaily.co.kr/news/newspath.asp?newsid=04303366642328656
2025-10-30,Venture/Finance,https://www.sedaily.com/NewsView/2GZD8Y731L
